"OHIO, INDIANA, MICHIGAN, MISSOURI, PENNSYLVIANIA, WISCONSIN",,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Michigan,8,"$1 under $10,000","49,790",14.14408272
Michigan,8,"$10,000 under $25,000","59,370",16.865519
Michigan,8,"$25,000 under $50,000","67,720",19.23754332
Michigan,8,"$50,000 under $75,000","45,340",12.87995
Michigan,8,"$75,000 under $100,000","35,090",9.968183626
Michigan,8,"$100,000 under $200,000","66,370",18.85404238
Michigan,8,"$200,000 under $500,000","20,660",5.868984717
Michigan,8,"$500,000 or more","3,780",1.073802625
,,,,
Michigan,9,,"375,730",100
Michigan,9,Under $1,"4,150",1.104516541
Michigan,9,"$1 under $10,000","53,480",14.23362521
Michigan,9,"$10,000 under $25,000","74,400",19.80145317
Michigan,9,"$25,000 under $50,000","90,680",24.1343518
Michigan,9,"$50,000 under $75,000","55,160",14.6807548
Michigan,9,"$75,000 under $100,000","35,690",9.498842254
Michigan,9,"$100,000 under $200,000","46,460",12.36526229
Michigan,9,"$200,000 under $500,000","12,180",3.241689511
Michigan,9,"$500,000 or more","3,530",0.939504431
,,,,
Michigan,10,,"360,470",100
Michigan,10,Under $1,"4,630",1.284434211
Michigan,10,"$1 under $10,000","53,810",14.92773324
Michigan,10,"$10,000 under $25,000","66,710",18.50639443
Michigan,10,"$25,000 under $50,000","76,430",21.20287403
Michigan,10,"$50,000 under $75,000","50,060",13.88742475
Michigan,10,"$75,000 under $100,000","36,980",10.25882875
Michigan,10,"$100,000 under $200,000","58,680",16.27874719
Michigan,10,"$200,000 under $500,000","11,400",3.162537798
Michigan,10,"$500,000 or more","1,770",0.491025605
,,,,
Michigan,11,,"383,070",100
Michigan,11,Under $1,"4,000",1.044195578
Michigan,11,"$1 under $10,000","49,660",12.9636881
Michigan,11,"$10,000 under $25,000","53,400",13.94001096
Michigan,11,"$25,000 under $50,000","67,370",17.58686402
Michigan,11,"$50,000 under $75,000","50,720",13.24039993
Michigan,11,"$75,000 under $100,000","41,100",10.72910956
Michigan,11,"$100,000 under $200,000","81,120",21.17628632
Michigan,11,"$200,000 under $500,000","29,480",7.695721409
Michigan,11,"$500,000 or more","6,220",1.623724124
,,,,
Michigan,12,,"348,190",100
Michigan,12,Under $1,"3,460",0.993710331
Michigan,12,"$1 under $10,000","49,710",14.27668802
Michigan,12,"$10,000 under $25,000","70,460",20.236078
Michigan,12,"$25,000 under $50,000","79,900",22.94724145
Michigan,12,"$50,000 under $75,000","48,240",13.85450472
Michigan,12,"$75,000 under $100,000","32,430",9.313880353
Michigan,12,"$100,000 under $200,000","48,190",13.84014475
Michigan,12,"$200,000 under $500,000","13,280",3.814009592
Michigan,12,"$500,000 or more","2,520",0.723742784
,,,,
Michigan,13,,"279,130",100
Michigan,13,Under $1,"2,610",0.935048185
Michigan,13,"$1 under $10,000","46,970",16.82728478
Michigan,13,"$10,000 under $25,000","89,520",32.07107799
Michigan,13,"$25,000 under $50,000","74,230",26.5933436
Michigan,13,"$50,000 under $75,000","32,650",11.69705872
Michigan,13,"$75,000 under $100,000","16,490",5.907641601
Michigan,13,"$100,000 under $200,000","14,880",5.330849425
Michigan,13,"$200,000 under $500,000","1,530",0.548131695
Michigan,13,"$500,000 or more",250,0.089564002
,,,,
Michigan,14,,"302,580",100
Michigan,14,Under $1,"3,590",1.186463084
Michigan,14,"$1 under $10,000","45,550",15.05387005
Michigan,14,"$10,000 under $25,000","81,030",26.77969463
Michigan,14,"$25,000 under $50,000","68,680",22.69812942
Michigan,14,"$50,000 under $75,000","35,180",11.62667724
Michigan,14,"$75,000 under $100,000","21,650",7.155132527
Michigan,14,"$100,000 under $200,000","32,110",10.61206954
Michigan,14,"$200,000 under $500,000","11,670",3.856831251
Michigan,14,"$500,000 or more","3,120",1.031132263
,,,,
Missouri,1,,"336,910",100
Missouri,1,Under $1,"3,190",0.946840402
Missouri,1,"$1 under $10,000","46,420",13.77816034
Missouri,1,"$10,000 under $25,000","87,640",26.01288178
Missouri,1,"$25,000 under $50,000","96,580",28.66640943
Missouri,1,"$50,000 under $75,000","44,270",13.14000772
Missouri,1,"$75,000 under $100,000","22,630",6.716927369
Missouri,1,"$100,000 under $200,000","27,050",8.028850435
Missouri,1,"$200,000 under $500,000","7,420",2.202368585
Missouri,1,"$500,000 or more","1,710",0.507553946
,,,,
Missouri,2,,"390,010",100
Missouri,2,Under $1,"4,320",1.107663906
Missouri,2,"$1 under $10,000","46,980",12.04584498
Missouri,2,"$10,000 under $25,000","53,030",13.59708725
Missouri,2,"$25,000 under $50,000","71,480",18.32773519
Missouri,2,"$50,000 under $75,000","52,240",13.39452835
Missouri,2,"$75,000 under $100,000","40,390",10.35614471
Missouri,2,"$100,000 under $200,000","80,020",20.51742263
Missouri,2,"$200,000 under $500,000","32,570",8.351067921
Missouri,2,"$500,000 or more","8,980",2.302505064
,,,,
Missouri,3,,"375,020",100
Missouri,3,Under $1,"4,500",1.199936003
Missouri,3,"$1 under $10,000","48,980",13.06063677
Missouri,3,"$10,000 under $25,000","67,930",18.1137006
Missouri,3,"$25,000 under $50,000","87,790",23.40941816
Missouri,3,"$50,000 under $75,000","55,770",14.87120687
Missouri,3,"$75,000 under $100,000","40,660",10.84208842
Missouri,3,"$100,000 under $200,000","57,200",15.25251987
Missouri,3,"$200,000 under $500,000","10,690",2.850514639
Missouri,3,"$500,000 or more","1,500",0.399978668
,,,,
Missouri,4,,"324,400",100
Missouri,4,Under $1,"5,760",1.775585697
Missouri,4,"$1 under $10,000","46,970",14.47903822
Missouri,4,"$10,000 under $25,000","68,650",21.1621455
Missouri,4,"$25,000 under $50,000","82,610",25.46547472
Missouri,4,"$50,000 under $75,000","47,010",14.49136868
Missouri,4,"$75,000 under $100,000","30,100",9.278668311
Missouri,4,"$100,000 under $200,000","35,030",10.79839704
Missouri,4,"$200,000 under $500,000","7,010",2.160912454
Missouri,4,"$500,000 or more","1,260",0.388409371
,,,,
Missouri,5,,"364,040",100
Missouri,5,Under $1,"3,650",1.002637073
Missouri,5,"$1 under $10,000","48,260",13.25678497
Missouri,5,"$10,000 under $25,000","78,070",21.44544556
Missouri,5,"$25,000 under $50,000","100,890",27.71398747
Missouri,5,"$50,000 under $75,000","54,690",15.02307439
Missouri,5,"$75,000 under $100,000","31,370",8.617184925
Missouri,5,"$100,000 under $200,000","37,570",10.32029447
Missouri,5,"$200,000 under $500,000","7,910",2.17283815
Missouri,5,"$500,000 or more","1,630",0.447752994
,,,,
Missouri,6,,"347,620",100
Missouri,6,Under $1,"5,350",1.539036879
Missouri,6,"$1 under $10,000","46,410",13.35078534
Missouri,6,"$10,000 under $25,000","62,510",17.9822795
Missouri,6,"$25,000 under $50,000","79,740",22.93884126
Missouri,6,"$50,000 under $75,000","51,760",14.88982222
Missouri,6,"$75,000 under $100,000","36,450",10.48558771
Missouri,6,"$100,000 under $200,000","52,340",15.05667108
Missouri,6,"$200,000 under $500,000","11,260",3.239169208
Missouri,6,"$500,000 or more","1,800",0.517806801
,,,,
Missouri,7,,"346,810",100
Missouri,7,Under $1,"5,870",1.692569418
